bill,rep,vote,topic,progressive,representative,pct_win,party,rep_2018,prog_vote
97,MASSER,yay,education,-1,Kurt Masser,0.716084580660489,rep,1,0
97,MEHAFFIE,yay,education,-1,Thomas Mehaffie,1,rep,1,0
97,MENTZER,yay,education,-1,Steven Mentzer,0.6313299408609541,rep,1,0
97,METCALFE,yay,education,-1,Daryl Metcalfe,0.6783500569808489,rep,1,0
97,METZGAR,yay,education,-1,Carl Metzgar,1,rep,1,0
97,MICCARELLI,yay,education,-1,Nick Miccarelli,0.639160344605889,rep,0,0
97,MILLARD,yay,education,-1,David Millard,0.67691026756992,rep,1,0
97,"MILLER, B.",yay,education,-1,Brett Miller,0.619520193303417,rep,1,0
97,MILNE,yay,education,-1,Duane Milne,0.567236020573755,rep,0,0
97,MOUL,yay,education,-1,Dan Moul,0.664932741369028,rep,1,0
97,MUSTIO,yay,education,-1,T. Mark Mustio,1,rep,0,0
97,NELSON,yay,education,-1,Eric Nelson,0.6515253154448171,rep,1,0
97,NESBIT,yay,education,-1,Tedd Nesbit,0.666207286476554,rep,1,0
97,OBERLANDER,yay,education,-1,Donna Oberlander,0.756447990085973,rep,1,0
97,ORTITAY,yay,education,-1,Jason Ortitay,0.602390821168979,rep,1,0
97,PEIFER,yay,education,-1,Michael Peifer,1,rep,1,0
97,PETRI,yay,education,-1,Scott Petri,0.610733906914066,rep,0,0
97,PICKETT,yay,education,-1,Tina Pickett,1,rep,1,0
97,PYLE,yay,education,-1,Jeffrey Pyle,1,rep,1,0
97,QUIGLEY,yay,education,-1,Thomas Quigley,0.511531537651574,rep,0,0
97,"QUINN, C.",yay,education,-1,Christopher Quinn,0.561471803759499,rep,1,0
97,"QUINN, M.",yay,education,-1,Marguerite Quinn,0.637547750424448,rep,0,0
97,RADER,yay,education,-1,Jack Rader Jr.,1,rep,0,0
97,RAPP,yay,education,-1,Kathy Rapp,0.699746913106833,rep,1,0
97,REED,yay,education,-1,Dave Reed,0.68877718282155,rep,0,0
97,REESE,yay,education,-1,Mike Reese,1,rep,1,0
97,ROAE,yay,education,-1,Bradley Roae,0.599951158247279,rep,1,0
97,ROE,yay,education,-1,Eric Roe,0.530760895738021,rep,0,0
97,ROTHMAN,yay,education,-1,Greg Rothman,0.626833524183434,rep,1,0
97,RYAN,yay,education,-1,Francis Ryan,0.670005414185165,rep,1,0
97,SACCONE,yay,education,-1,Rick Saccone,0.683988328056125,rep,0,0
97,SANKEY,yay,education,-1,Thomas Sankey,0.711052591405236,rep,1,0
97,SAYLOR,yay,education,-1,Stanley Saylor,1,rep,1,0
97,SCHEMEL,yay,education,-1,Paul Schemel,1,rep,1,0
97,SONNEY,yay,education,-1,Curtis Sonney,1,rep,1,0
97,STAATS,yay,education,-1,Craig Staats,0.5829980977328719,rep,1,0
97,STEPHENS,yay,education,-1,Todd Stephens,0.6081190070794871,rep,1,0
97,TALLMAN,yay,education,-1,Will Tallman,0.7436389654811351,rep,0,0
97,TOBASH,yay,education,-1,Mike Tobash,1,rep,1,0
97,TOEPEL,yay,education,-1,Marcy Toepel,0.633493458062069,rep,1,0
97,TOOHIL,yay,education,-1,Tarah Toohil,0.70194248234107,rep,1,0
97,TOPPER,yay,education,-1,Jesse Topper,1,rep,1,0
97,WALSH,yay,education,-1,Justin Walsh,0.615379312721883,rep,1,0
97,WARD,yay,education,-1,Judith Ward,1,rep,0,0
97,WARNER,yay,education,-1,Ryan Warner,0.639139486467731,rep,1,0
97,WENTLING,yay,education,-1,Parke Wentling,0.712721114038389,rep,1,0
97,WHEELAND,yay,education,-1,Jeff Wheeland,1,rep,1,0
97,WHITE,yay,education,-1,Martina White,0.539176777412405,rep,1,0
97,ZIMMERMAN,yay,education,-1,David H. Zimmerman,0.742633669922198,rep,1,0
97,DAVIDSON,yay,education,-1,Margo Davidson,0.790383054385219,dem,1,0
97,"HARRIS, J.",yay,education,-1,Jordan Harris,1,dem,1,0
97,MCCLINTON,yay,education,-1,Joanna McClinton,1,dem,1,0
97,WHEATLEY,yay,education,-1,Jake Wheatley Jr.,1,dem,1,0
97,TURZAI,yay,education,-1,Mike Turzai,0.6524607751106339,rep,1,0
97,BARRAR,nay,education,-1,Stephen Barrar,1,rep,1,1
97,CAUSER,nay,education,-1,Martin Causer,1,rep,1,1
97,DIGIROLAMO,nay,education,-1,Gene DiGirolamo,1,rep,1,1
97,GILLEN,nay,education,-1,Mark Gillen,1,rep,1,1
97,GODSHALL,nay,education,-1,Robert Godshall,0.595445656137094,rep,0,1
97,LEWIS,nay,education,-1,Harry Lewis Jr.,0.512681725130981,rep,0,1
97,MCGINNIS,nay,education,-1,John McGinnis,1,rep,0,1
97,MURT,nay,education,-1,Thomas Murt,0.633251761653448,rep,1,1
97,O'NEILL,nay,education,-1,Bernard O'Neill,0.619405294398965,rep,0,1
97,SANTORA,nay,education,-1,Jamie Santora,0.542745379079698,rep,0,1
97,BARBIN,nay,education,-1,Bryan Barbin,0.5898047876888,dem,0,1
97,BIZZARRO,nay,education,-1,Ryan Bizzarro,0.599437119520328,dem,1,1
97,BOYLE,nay,education,-1,Kevin Boyle,0.624598101878753,dem,1,1
97,BRADFORD,nay,education,-1,Matthew Bradford,0.669876803430607,dem,1,1
97,BRIGGS,nay,education,-1,Tim Briggs,0.668647357420125,dem,1,1
97,"BROWN, V.",nay,education,-1,Vanessa Lowery Brown,1,dem,1,1
97,BULLOCK,nay,education,-1,Donna Bullock,1,dem,1,1
97,BURNS,nay,education,-1,Frank Burns,0.57554437682485,dem,1,1
97,CALTAGIRONE,nay,education,-1,Thomas Caltagirone,1,dem,1,1
97,CARROLL,nay,education,-1,Mike Carroll,1,dem,1,1
97,CEPHAS,nay,education,-1,Morgan Cephas,1,dem,1,1
97,COMITTA,nay,education,-1,Carolyn Comitta,0.500342381330631,dem,1,1
97,CONKLIN,nay,education,-1,H. Scott Conklin,1,dem,1,1
97,"COSTA, D.",nay,education,-1,Dominic Costa,1,dem,0,1
97,"COSTA, P.",nay,education,-1,Paul Costa,1,dem,0,1
97,CRUZ,nay,education,-1,Angel Cruz,1,dem,1,1
97,DALEY,nay,education,-1,Mary Jo Daley,0.634784622510421,dem,1,1
97,DAVIS,nay,education,-1,Tina Davis,0.655981958000592,dem,1,1
97,DAWKINS,nay,education,-1,Jason Dawkins,1,dem,1,1
97,DEAN,nay,education,-1,Madeleine Dean,0.662519608373452,dem,0,1
97,DEASY,nay,education,-1,Daniel Deasy Jr.,1,dem,1,1
97,DELISSIO,nay,education,-1,Pamela Delissio,0.707179597745403,dem,0,1
