bill,rep,vote
178,HELM,yay
178,HICKERNELL,yay
178,HILL,yay
178,IRVIN,yay
178,JAMES,yay
178,JOZWIAK,yay
178,KAMPF,yay
178,KAUFER,yay
178,KAUFFMAN,yay
178,KEEFER,yay
178,"KELLER, F.",yay
178,"KELLER, M.K.",yay
178,KLUNK,yay
178,KNOWLES,yay
178,LAWRENCE,yay
178,LEWIS,yay
178,MACKENZIE,yay
178,MAHER,yay
178,MAKO,yay
178,MALONEY,yay
178,MARSHALL,yay
178,MARSICO,yay
178,MASSER,yay
178,MCGINNIS,yay
178,MENTZER,yay
178,METCALFE,yay
178,MILLARD,yay
178,"MILLER, B.",yay
178,MOUL,yay
178,MUSTIO,yay
178,NELSON,yay
178,NESBIT,yay
178,O'NEILL,yay
178,OBERLANDER,yay
178,ORTITAY,yay
178,PEIFER,yay
178,PETRI,yay
178,PICKETT,yay
178,PYLE,yay
178,QUIGLEY,yay
178,"QUINN, C.",yay
178,"QUINN, M.",yay
178,RADER,yay
178,RAPP,yay
178,REED,yay
178,REESE,yay
178,ROAE,yay
178,ROE,yay
178,ROTHMAN,yay
178,RYAN,yay
178,SANKEY,yay
178,SAYLOR,yay
178,SCHEMEL,yay
178,SIMMONS,yay
178,SONNEY,yay
178,STAATS,yay
178,STEPHENS,yay
178,TALLMAN,yay
178,TAYLOR,yay
178,TOBASH,yay
178,TOEPEL,yay
178,TOOHIL,yay
178,TOPPER,yay
178,WALSH,yay
178,WARD,yay
178,WARNER,yay
178,WENTLING,yay
178,WHEELAND,yay
178,ZIMMERMAN,yay
178,DAVIDSON,yay
178,TURZAI,yay
178,BARRAR,nay
178,BOBACK,nay
178,CHARLTON,nay
178,DIGIROLAMO,nay
178,FARRY,nay
178,MEHAFFIE,nay
178,METZGAR,nay
178,MILNE,nay
178,MURT,nay
178,SANTORA,nay
178,WHITE,nay
178,BARBIN,nay
178,BIZZARRO,nay
178,BOYLE,nay
178,BRADFORD,nay
178,BRIGGS,nay
178,"BROWN, V.",nay
178,BULLOCK,nay
178,BURNS,nay
178,CALTAGIRONE,nay
178,CARROLL,nay
178,CEPHAS,nay
178,COMITTA,nay
178,CONKLIN,nay
178,"COSTA, D.",nay
178,"COSTA, P.",nay
178,CRUZ,nay
178,DAVIS,nay
178,DAWKINS,nay
178,DEAN,nay
178,DEASY,nay
178,DELISSIO,nay
178,DERMODY,nay
178,DONATUCCI,nay
178,DRISCOLL,nay
178,EVANS,nay
178,FABRIZIO,nay
178,FITZGERALD,nay
178,FLYNN,nay
178,FRANKEL,nay
178,FREEMAN,nay
178,GALLOWAY,nay
178,GERGELY,nay
178,GOODMAN,nay
178,HANNA,nay
178,HARKINS,nay
178,"HARRIS, J.",nay
178,KAVULICH,nay
178,"KELLER, W.",nay
178,KIM,nay
178,KIRKLAND,nay
178,KORTZ,nay
178,KRUEGER,nay
178,KULIK,nay
178,LONGIETTI,nay
178,MADDEN,nay
178,MARKOSEK,nay
178,MCCLINTON,nay
178,MULLERY,nay
178,NEILSON,nay
178,NEUMAN,nay
178,O'BRIEN,nay
178,PASHINSKI,nay
178,PETRARCA,nay
178,RABB,nay
178,RAVENSTAHL,nay
178,READSHAW,nay
178,ROEBUCK,nay
178,ROZZI,nay
178,SAINATO,nay
178,SAMUELSON,nay
178,SCHLOSSBERG,nay
178,SCHWEYER,nay
178,SIMS,nay
178,SNYDER,nay
178,SOLOMON,nay
178,STURLA,nay
178,VAZQUEZ,nay
178,VITALI,nay
178,WARREN,nay
178,WHEATLEY,nay
1419,BARRAR,yay
1419,BENNINGHOFF,yay
1419,BERNSTINE,yay
1419,BLOOM,yay
1419,BOBACK,yay
1419,"BROWN, R.",yay
1419,CAUSER,yay
